Tên Dự án,Folder From,Folder To
Elyse Island / Mặt bằng Zone C & map dự án,https://drive.google.com/drive/folders/1AHjSGWEbdR2q4aSkm1QVTA6QhcwajtAU,https://drive.google.com/drive/folders/1MqYlzheechESjn4sksxWZHXazcNkNB7U
Elyse Island / Clip dự án,https://drive.google.com/drive/folders/14llvqFcBoowoqrYKeI1lEPOThkeL9uQo,https://drive.google.com/drive/folders/1KlG285UtRPhxetFUHDjsZGUst3vlF8mh
Elyse Island / Hình phối cảnh 3D,https://drive.google.com/drive/folders/1fEcNY0qGyzWi-yDzrtiq_gXwYSnqIkxC,https://drive.google.com/drive/folders/1pvI7I-KRZ8yKmDR-Lx7SvRekVr2HxhUj
Elyse Island / Mặt bằng căn,https://drive.google.com/drive/folders/1fEcNY0qGyzWi-yDzrtiq_gXwYSnqIkxC,https://drive.google.com/drive/folders/1kIiY0FiHnRwqH1E6LgQmJ7glrv4bSjIa
Elyse Island / Leaflet,https://drive.google.com/drive/folders/10CLHzshdSIT8JoBp1cL86JsWE5EO1RSX,https://drive.google.com/drive/folders/1qAUqQlfftbuMBghcIN0xlnHpwr8ExQTm
Elyse Island / Pháp lý dự án,https://drive.google.com/drive/folders/11oYehTfJm3NLwmv4X290_dJfAGBNRSd9,https://drive.google.com/drive/folders/1hnIXCNvS0aQRQzi5gb7jBpcBFUyXxOoe
Elyse Island / Giới thiệu dự án,https://drive.google.com/drive/folders/19wEEv-dQfAgbiAYmxtvXZhjeKSBRXXyM,https://drive.google.com/drive/folders/1B4NwsmfwDOy1E8bZaBx8NqPK4bPIsmGv
Elyse Island / Thông tin kinh doanh,https://drive.google.com/drive/folders/17jGc5vX95CGR1ujgQnk4LffLmTaewAhf,https://drive.google.com/drive/folders/160zpvsvVUx_6DZ0hWS2rBnhmCTlTEGN-
Salacia,https://drive.google.com/drive/folders/1vMrQlgOSe6PmmnxFwYFmLBKV1aWKJ3wb,https://drive.google.com/drive/folders/1pX33yXBbSQ4MyGoHjwj32ndyCQBbWsBl
The Berkley,https://drive.google.com/drive/folders/1eytnjkAeVWFxbHquCrym5tx19Wt-_bA6?hl=vi,https://drive.google.com/drive/folders/1RaiMb0DGd-27jH5MHCvdVrMfvriaJyfq
Maia Ho Tram / Link thông tin dự án,https://drive.google.com/drive/folders/1N7awNcJfrMDRm9FKHAjMxiT5oP7DaOJ7?usp=drive_link,https://drive.google.com/drive/folders/1_a0jPeltG-x9ZQIYNOhC5Hfgsun6_PXj
Maia Ho Tram / Link tài liệu marketing,https://drive.google.com/drive/folders/1hB6YG8ihKi50mSakL4nG9epoRKF4Y992?usp=drive_link,https://drive.google.com/drive/folders/161qpqbCL4Rn_8pHx42A1oS3B7J8z45Mr
The NEST,https://drive.google.com/drive/folders/1qBnVnBkdBvLECLjkDFCSTk4PytO-ozLw,https://drive.google.com/drive/folders/175Zi3gWF9HyFXK7vnR9ziGFbxMbduODB
Eco Retreat,https://drive.google.com/drive/folders/1-HraZ53Elefyk1xwQ5dF3l0T6TUGPXjM,https://drive.google.com/drive/folders/16dfkpAfGarfTuVjc4Bv9QOYehHddjmpj
Fresia,https://drive.google.com/drive/folders/17dbnae4L4iLzUXUEX2xk0lBKL-tVAYiu,https://drive.google.com/drive/folders/1-9LQUbXMYm4vmsVw9F-j9sjA0AybAGBq
